date,close,predicted,predicted_name,actual,actual_name,prob_bear,prob_neutral,prob_bull,correct
2024-09-13,64.49,1,Neutral,0.0,Bear,0.242,0.5287,0.2293,False
2024-09-16,63.6,2,Bull,2.0,Bull,0.1932,0.2372,0.5696,True
2024-09-17,64.93,1,Neutral,1.0,Neutral,0.2156,0.6127,0.1717,True
2024-09-18,64.84,1,Neutral,1.0,Neutral,0.2601,0.5611,0.1788,True
2024-09-19,64.84,1,Neutral,0.0,Bear,0.2812,0.5888,0.13,False
2024-09-20,64.31,1,Neutral,1.0,Neutral,0.2411,0.5924,0.1665,True
2024-09-23,64.49,1,Neutral,1.0,Neutral,0.2968,0.6362,0.067,True
2024-09-24,64.35,1,Neutral,0.0,Bear,0.2355,0.6304,0.134,False
2024-09-25,63.71,2,Bull,2.0,Bull,0.1692,0.3764,0.4544,True
2024-09-26,64.71,1,Neutral,1.0,Neutral,0.3684,0.5218,0.1098,True
2024-09-27,64.99,1,Neutral,0.0,Bear,0.3384,0.5492,0.1124,False
2024-09-30,64.17,1,Neutral,1.0,Neutral,0.3227,0.6079,0.0694,True
2024-10-01,64.17,0,Bear,1.0,Neutral,0.4667,0.4184,0.1148,False
2024-10-02,64.17,1,Neutral,1.0,Neutral,0.2229,0.5393,0.2378,True
2024-10-03,64.35,1,Neutral,0.0,Bear,0.3494,0.4152,0.2354,False
2024-10-04,62.7,1,Neutral,0.0,Bear,0.1998,0.4084,0.3918,False
2024-10-07,61.42,1,Neutral,2.0,Bull,0.3014,0.6024,0.0962,False
2024-10-08,62.43,1,Neutral,0.0,Bear,0.3427,0.5822,0.0751,False
2024-10-09,62.06,1,Neutral,1.0,Neutral,0.2578,0.4078,0.3344,True
2024-10-10,61.97,1,Neutral,1.0,Neutral,0.2851,0.5918,0.123,True
2024-10-11,61.97,1,Neutral,0.0,Bear,0.2497,0.5509,0.1994,False
2024-10-14,61.51,2,Bull,0.0,Bear,0.1879,0.3287,0.4834,False
